title,date
"코오롱티슈진 ""고관절 골관절염 미국 2상 FDA 심사 완료""",2021-12-03 16:41
"아이큐어, 6일 무상증자로 인한 권리락 발생",2021-12-03 16:41
"경남제약헬스케어, 약사법 등 위반 수입업무 3개월간 정지",2021-12-03 16:40
"코오롱티슈진, TG-C 고관절 골관절염 임상 2상 FDA 승인",2021-12-03 16:36
"멜파스, 12월 20일 임시주주총회 소집",2021-12-03 16:28
"알파홀딩스, 100억원 규모 제3자배정 유상증자 결정",2021-12-03 16:28
"시티랩스, 12월 20일 임시주주총회 소집",2021-12-03 16:28
"대성엘텍 ""최대주주 경영권 매각 추진 구체적으로 결정된 바 없어""",2021-12-03 16:27
"씨티씨바이오, 12월 20일 임시주주총회 소집",2021-12-03 16:27
"대원전선, 신대원에너지 지분 전량 처분 결정",2021-12-03 16:01
"GS에너지, 계열사 GS파워 주식 3136만주 처분 결정",2021-12-03 15:53
"GS에너지, 계열사 GS파워 지분 처분 결정",2021-12-03 15:49
"머큐리, LG U+와 135억 규모 계약 체결",2021-12-03 15:43
"머큐리, LG유플러스와 135억원 규모 안테나 AP 공급계약",2021-12-03 15:08
"머큐리, LG유플러스와 135억 규모 공급계약 체결",2021-12-03 14:54
"GV, 안진호 경영지배인 선임",2021-12-03 14:37
"대우조선해양, 3829억 규모 공사 수주",2021-12-03 14:31
"부산주공, 50억 규모 유상증자 결정",2021-12-03 14:31
"아이원스, 409억 규모 제3자배정 유상증자 결정",2021-12-03 14:31
"진흥기업, 1383억원 규모 공사 수주",2021-12-03 14:28
"라온피플, 311억 규모 토지·건물 양수 결정",2021-12-03 14:27
"아이원스, 410억 규모 유상증자 결정",2021-12-03 14:26
"서호전기, 11억 상당 자사주 취득 결정",2021-12-03 14:23
"글로본, 8억 규모 바이오수소 정제분리시스템 공급 계약",2021-12-03 14:20
"아이원스, 409억원 규모 제3자배정 유상증자 결정",2021-12-03 14:18
"라온피플, 311억원 규모 과천 토지 및 건물 양수 결정",2021-12-03 14:18
"서호전기, 자기주식 5만5000주 취득 결정",2021-12-03 14:18
"현진소재, 본점 소재 주소지 이전",2021-12-03 14:17
"글로본, 고등기술연구원연구조합과 8억원 규모 연구 계약 체결",2021-12-03 14:16
"서호전기, 11억 규모 자사주 취득 결정…임직원 성과급 지급",2021-12-03 14:10
"대우조선해양, 3829억 규모 해상풍력발전기 설치선 1척 수주 계약",2021-12-03 13:56
"프레스티지바이오파마 ""기관 주주, 추가 지분 매수""",2021-12-03 13:25
"부산주공, 50억 규모 제3자배정 유상증자 결정",2021-12-03 11:25
"진흥기업, 1383억 규모 해링턴 플레이스 감삼 신축공사 수주",2021-12-03 10:53
"한미반도체, ASE와 68억 규모 공급 계약",2021-12-03 09:35
"한미반도체, 68억 규모 반도체 제조용 장비 공급계약",2021-12-03 08:58
"휴젤 ""보틀렉스주 등 4개 품목 허가취소 처분 공문 수령""",2021-12-03 07:59
[e공시 눈에 띄네] 코스피-2일,2021-12-03 07:33
[e공시 눈에 띄네] 코스닥-2일,2021-12-03 07:22
"GRT, 상장적격성 실질심사 대상 제외…3일 거래재개",2021-12-02 18:08
"케어랩스, 280억원 규모 신규시설 투자 결정",2021-12-02 18:08
"디와이디대양, 오는 7일부터 주권매매거래 정지",2021-12-02 18:08
"CJ제일제당, 계열사에 2635억원 채무보증",2021-12-02 18:01
"코오롱생명과학, 250억원 규모 CB 발행",2021-12-02 17:59
"코오롱티슈진, 354.5억원 규모 유상증자 결정",2021-12-02 17:51
"STX, 자회사에 100억원 금전대여 결정",2021-12-02 17:43
"포스코 ""지배구조 개편 포함 다양한 전략적 방안 검토""",2021-12-02 17:34
"코오롱티슈진, 350억원 유증…코오롱 등에 3자 배정",2021-12-02 17:26
"아이엠, 오는 7일부터 주권매매거래 정지",2021-12-02 17:07
"에쓰씨엔지니어링, 70억 규모 제3자배정 유상증자 결정",2021-12-02 16:57
"거래소, UCI 주권매매거래 정지기간 변경",2021-12-02 16:50
"판타지오, 10대 1 감자 결정",2021-12-02 16:50
"유엔젤, 드림시큐리티 지분 1.04% 취득 결정",2021-12-02 16:44
"코센, 감자주권 변경상장에 주권매매거래 정지기간 변경",2021-12-02 16:43
"RF머티리얼즈, 주당 1주 무상증자 결정",2021-12-02 16:42
"에쓰씨엔지, 70억원 규모 3자 배정 유증 결정",2021-12-02 16:41
"거래소, 제이웨이에 불성실공시법인 지정 예고",2021-12-02 16:35
"인트로메딕, 오는 7일부터 주권매매거래 정지",2021-12-02 16:32
"KH E&T, 약 15억원 규모 유상증자 결정",2021-12-02 16:31
"RF머트리얼즈, 주당 1주 무상증자 결정",2021-12-02 16:30
"KH E&T, 장원테크 대상 15억원 규모 유증 결정",2021-12-02 16:19
"옵트론텍, 7.6억원 규모 자기주식 처분 결정",2021-12-02 15:51
"성문전자, 안휘봉성전자유한회사에 46억 규모 출자 결정",2021-12-02 15:48
"위드텍, 방사성 폐기물 전처리 장치 특허권 취득",2021-12-02 15:45
"협진, 7.5억원 규모 식품제조용 기계장치 계약 체결",2021-12-02 15:45
"대보마그네틱, 31억 규모 전자석 탈철기 공급계약 체결",2021-12-02 15:23
"협진, 7.5억 규모 식품제조용 기계장치 공급계약",2021-12-02 15:17
"대보마그네틱, 31억 규모 전자석 탈철기 공급계약",2021-12-02 15:15
"협진, 7.5억 규모 식품제조용 기계장치 공급계약",2021-12-02 15:13
"대보마그네틱, 31억원 규모 전자석 탈철기 공급계약 체결",2021-12-02 15:11
"아이엘사이언스, 액상 실리콘 이용한 광한렌즈 성형 특허",2021-12-02 15:11
"파버나인, 20억원 규모 자기주식취득 신탁계약 체결",2021-12-02 15:10
"CNT85, 박종승 대표이사 신규 선임",2021-12-02 15:10
"에코플라스틱, 20억원 규모 금형·기계장치 취득 결정",2021-12-02 15:10
"아이엘사이언스, 광학 렌즈 성형 방법 관련 특허취득",2021-12-02 15:00
"인지컨트롤스, 현대기아차와 275억 규모 공급계약 체결",2021-12-02 14:57
"인지컨트롤스, 현대기아차와 275억원 규모 공급계약",2021-12-02 14:56
"파버나인, 20억 규모 자사주 취득 신탁계약 체결",2021-12-02 14:38
"에스티팜, '임상3상용 올리고핵산치료제 신약' 관련 계약 체결",2021-12-02 14:35
"[자금조달]IPO 앞둔 신한서부티엔디리츠, ‘용산 그랜드머큐어호텔’ 담보로 720억 차입",2021-12-02 14:34
"인지컨트롤스, 현대기아차와 275억 규모 공급계약 체결",2021-12-02 14:26
"에스티팜, 114억 규모 원료의약품 공급계약",2021-12-02 13:50
"동성제약, 10억 규모 자사주 취득 결정",2021-12-02 13:30
"동성제약, 10억원 규모 자사주 취득 결정[주목 e공시]",2021-12-02 13:09
"동성제약, 10억원 규모 자사주 취득 결정",2021-12-02 13:02
"CNT85, 도장공비 설비 보수공사 계약 체결",2021-12-02 10:54
"포스코케미칼, “GM과 美 합작사 설립…세부내용 협의중”",2021-12-02 10:30
"동방, 유상증자 신주발행가액 2875원 확정",2021-12-02 10:27
"포스코, 지주회사 보도추진설 조회공시 요구",2021-12-02 10:27
"포스코케미칼 ""GM과 JV 설립 세부내용 협의중""",2021-12-02 10:24
"거래소, 포스코 지주회사 전환 추진 관련 조회공시 요구",2021-12-02 10:10
"동방, 유상증자 확정발행가액 2875원",2021-12-02 10:07
"제이엘케이, 패치 정합 학습 데이터 증가 특허권 취득",2021-12-02 10:00
"다스코, 196억원 규모 소음저감시설공사 계약",2021-12-02 09:44
"다스코, 196억 규모 소음저감시설공사 수주",2021-12-02 09:29
"제이엘케이, 학습 데이터 증가 장치·방법 관련 특허취득",2021-12-02 09:24
"현대로템, 2189억 규모 캐나다 에드먼턴 트램 납품사업 수주",2021-12-02 08:59
"현대로템, 대만 카오슝 MRT 북부연장선 턴키사업 수주[주목 e공시]",2021-12-02 08:46
"현대로템, 대만 도시철도국과 2209억원 규모 공급계약",2021-12-02 08:44
"현대로템, 2210억 규모 대만 카오슝 레드라인 북부연장선 턴키사업 수주",2021-12-02 08:38
"현대로템, 대만 도시철도국과 2210억 규모 공급계약",2021-12-02 08:23
[e공시 눈에 띄네]코스닥-1일,2021-12-02 07:23
[e공시 눈에 띄네]코스피-1일,2021-12-02 07:16
[재송]1일 장 마감 후 주요 종목뉴스,2021-12-02 06:01
